VacID	JumpID	ERGforward	ERGbackward	ERGstartshow	ERGendshow	ERGstart	ERG1	ERG2	ERG3	ERG4	ERG5	ERGend	DISTstart	DIST1	DIST2	DIST3	DIST4	DIST5	DISTend	FORCEsaddle	DIST	POS
82	83	.538901	.420897	-918.15484942	-918.03684527	0.000000	0.129010	0.402609	0.538901	0.436304	0.221709	0.118004	0.000000	0.500174	1.001073	1.502663	1.961833	2.424701	2.892331	-0.008350	2.66387331313977	1.502663
82	80	.991153	.955814	-918.15484942	-918.11951007	0.000000	0.245608	0.762347	0.991153	0.771484	0.276751	0.035339	0.000000	0.642243	1.285300	1.928148	2.572800	3.215366	3.858289	-0.000679	3.24484671753773	1.928148
82	148	.718987	.642117	-918.15484942	-918.07797961	0.000000	0.171264	0.543831	0.718987	0.547568	0.230953	0.076870	0.000000	0.546509	1.096356	1.644033	2.198023	2.749183	3.295328	0.003822	2.9677425320671	1.644033
83	160	.590902	.514165	-920.44442804	-920.36769143	0.000000	0.149999	0.450371	0.590902	0.464706	0.209809	0.076737	0.000000	0.500308	1.002455	1.499450	1.991016	2.482654	2.973451	0.001078	2.73906352723405	1.499450
83	81	.368464	.485212	-920.44442804	-920.56117648	0.000000	0.091671	0.278918	0.368464	0.250096	0.008935	-0.116748	0.000000	0.439789	0.881588	1.318292	1.794278	2.263799	2.741000	0.007783	2.56269156999558	1.318292
83	144	.577168	.519407	-920.44442804	-920.38666725	0.000000	0.147628	0.441177	0.577168	0.444562	0.188567	0.057761	0.000000	0.507046	1.013302	1.515782	2.018051	2.523096	3.029518	0.005633	2.7988107687174	1.515782
18	23	.603807	.476409	-918.14163566	-918.01423789	0.000000	0.141281	0.451424	0.603807	0.483645	0.242954	0.127398	0.000000	0.524842	1.048249	1.571554	2.064053	2.563702	3.070392	-0.005147	2.80560546888522	1.571554
18	84	.959465	.920786	-918.14163566	-918.10295683	0.000000	0.196250	0.696156	0.959465	0.706121	0.239617	0.038679	0.000000	0.633360	1.267785	1.900663	2.518718	3.136293	3.754255	-0.000565	3.15268675030363	1.900663
18	19	.624130	.474270	-918.14163566	-917.99177527	0.000000	0.146160	0.465834	0.624130	0.506313	0.266536	0.149860	0.000000	0.530586	1.064757	1.599553	2.090853	2.586112	3.089041	-0.008579	2.81023018297163	1.599553
1	4	.761436	.676895	-920.48352067	-920.39897982	0.000000	0.181654	0.571067	0.761436	0.586910	0.249980	0.084541	0.000000	0.548373	1.097802	1.640428	2.175903	2.713354	3.254017	0.001537	2.94185807858002	1.640428
1	2	.785271	.729274	-920.48352067	-920.42752320	0.000000	0.189675	0.585255	0.785271	0.604545	0.234218	0.055997	0.000000	0.572762	1.145788	1.720102	2.266715	2.817142	3.369239	-0.004428	3.04244437728269	1.720102
1	194	.528677	.490703	-920.48352067	-920.44554662	0.000000	0.149215	0.411029	0.528677	0.413478	0.178252	0.037974	0.000000	0.479350	0.960729	1.443014	1.924774	2.405850	2.882844	0.004958	2.71288349930777	1.443014
66	65	.570194	.665766	-918.11413295	-918.20970500	0.000000	0.139393	0.426451	0.570194	0.400771	0.053233	-0.095572	0.000000	0.535926	1.071973	1.605073	2.157228	2.712924	3.264686	0.001869	2.92231579338532	1.605073
66	71	.493329	.520371	-918.11413295	-918.14117462	0.000000	0.119438	0.371786	0.493329	0.361728	0.095789	-0.027042	0.000000	0.483354	0.964916	1.442600	1.938949	2.436285	2.934320	0.005297	2.69988338907758	1.442600
66	129	.738528	.802268	-918.11413295	-918.17787332	0.000000	0.181989	0.556333	0.738528	0.536570	0.131000	-0.063740	0.000000	0.552195	1.102455	1.649272	2.225962	2.805766	3.378474	0.006237	3.05173226996376	1.649272
82	83	.383056	.275572	-913.78551683	-913.67803321	0.000000	0.106158	0.293552	0.383056	0.322677	0.183374	0.107484	0.000000	0.505355	1.008737	1.509043	1.969544	2.434395	2.888954	-0.017910	2.72854435924103	1.509043
82	80	.397059	.412122	-913.78551683	-913.80058021	0.000000	0.116221	0.308553	0.397059	0.302569	0.102790	-0.015063	0.000000	0.474764	0.949923	1.426007	1.908937	2.389749	2.868425	0.000189	2.68808349674594	1.426007
82	148	.540779	.437339	-913.78551683	-913.68207695	0.000000	0.139415	0.412944	0.540779	0.438304	0.216911	0.103440	0.000000	0.515666	1.030193	1.541076	2.023677	2.513808	2.995124	-0.012983	2.75531504912783	1.541076
83	160	.590293	.556317	-916.17163587	-916.13765954	0.000000	0.142934	0.442522	0.590293	0.456075	0.175109	0.033976	0.000000	0.503851	1.012855	1.519519	2.017567	2.516885	3.018229	-0.001159	2.77068414183496	1.519519
83	81	.282696	.397973	-916.17163587	-916.28691246	0.000000	0.086216	0.226061	0.282696	0.186143	-0.006178	-0.115277	0.000000	0.457768	0.912638	1.360733	1.865479	2.363890	2.851118	0.026729	2.71896523063281	1.360733
83	144	.557919	.600387	-916.17163587	-916.21410370	0.000000	0.136696	0.419911	0.557919	0.411592	0.107716	-0.042468	0.000000	0.498631	0.998220	1.498059	2.006547	2.521278	3.027051	0.002528	2.77513118863082	1.498059
18	23	.359333	.271549	-913.86069906	-913.77291488	0.000000	0.103843	0.279725	0.359333	0.297886	0.163481	0.087784	0.000000	0.506148	1.004870	1.501817	1.973653	2.445360	2.916945	-0.007773	2.74358609547881	1.501817
18	84	.360996	.373545	-913.86069906	-913.87324843	0.000000	0.100914	0.276911	0.360996	0.277397	0.097370	-0.012549	0.000000	0.475453	0.953170	1.430897	1.914164	2.394666	2.874237	0.000244	2.69108850434923	1.430897
18	19	.371561	.246673	-913.86069906	-913.73581131	0.000000	0.105873	0.287254	0.371561	0.318022	0.193784	0.124888	0.000000	0.509786	1.015338	1.518864	1.977319	2.438299	2.890462	-0.015134	2.72614475421389	1.518864
1	4	.522148	.510592	-916.22064476	-916.20908838	0.000000	0.138999	0.398280	0.522148	0.400047	0.146591	0.011556	0.000000	0.501985	0.996530	1.494750	1.989856	2.482041	2.981426	-0.001602	2.75513714047083	1.494750
1	2	.528069	.553372	-916.22064476	-916.24594784	0.000000	0.142249	0.402269	0.528069	0.397460	0.125938	-0.025303	0.000000	0.490815	0.982711	1.474943	1.970773	2.467096	2.962234	-0.001135	2.75066044589472	1.474943
1	194	.592539	.520727	-916.22064476	-916.14883302	0.000000	0.148446	0.448176	0.592539	0.467386	0.202747	0.071812	0.000000	0.508112	1.023858	1.534678	2.027037	2.522221	3.023491	-0.002748	2.77545085597067	1.534678
66	65	.258004	.337795	-913.65219563	-913.73198708	0.000000	0.081985	0.207145	0.258004	0.180635	0.017844	-0.079791	0.000000	0.461966	0.923268	1.378796	1.873690	2.362383	2.844232	0.020236	2.71502409565208	1.378796
66	71	.329241	.358887	-913.65219563	-913.68184184	0.000000	0.090941	0.255478	0.329241	0.245822	0.067327	-0.029646	0.000000	0.478792	0.954742	1.431792	1.921202	2.418044	2.907874	0.005631	2.74291119621778	1.431792
66	129	.537859	.529506	-913.65219563	-913.64384287	0.000000	0.144707	0.409903	0.537859	0.412666	0.154045	0.008353	0.000000	0.495299	0.991011	1.487861	1.978515	2.468781	2.958429	0.002020	2.74911704433805	1.487861
82	83	.542230	.358635	-881.80437934	-881.62078418	0.000000	0.140894	0.420575	0.542230	0.450444	0.277096	0.183595	0.000000	0.562032	1.123158	1.688511	2.226349	2.768685	3.312124	0.005441	3.01832117857615	1.688511
82	80	.206534	.207369	-881.80437934	-881.80521445	0.000000	0.057715	0.158902	0.206534	0.160188	0.058476	-0.000835	0.000000	0.422743	0.846056	1.269162	1.690486	2.112667	2.534595	-0.000871	2.43396409640201	1.269162
82	148	.614719	.294547	-881.80437934	-881.48420706	0.000000	0.151001	0.462482	0.614719	0.546111	0.393685	0.320172	0.000000	0.529869	1.059826	1.591266	2.030917	2.476945	2.924742	-0.032779	2.71691776352558	1.591266
83	160	.570754	.518588	-881.80372281	-881.75155723	0.000000	0.150385	0.434249	0.570754	0.445672	0.184944	0.052166	0.000000	0.494739	0.981299	1.471649	1.952390	2.435132	2.920486	0.001722	2.69684981732223	1.471649
